Bioactivity_ID,Activity_Value,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Aid_Type,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Taxonomy_ID,Cell_ID,Target_Taxonomy_ID,Anatomy_ID,Anatomy,dois,pmcids,pclids,citations
303308898,"",651636,17504222,3665766,"",1880,"",Screening,20121012,0,0,Inactive,NP_004942,"","",Burnham Center for Chemical Genomics,uHTS identification of small molecule antagonists of the EBI2 receptor via a luminescent beta-arrestin assay,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",GPR183 - G protein-coupled receptor 183 (human),/gene/1880,"",P32249,9606,"","","","","","","",""
304775651,"",651644,17504222,3665766,"",155807,"",Confirmatory,20121016,1,0,Inactive,NP_057852,Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS Assay for Inhibitors of the HIV-1 protein Vpr,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",vpr - Vpr (Human immunodeficiency virus 1),/gene/155807,"",NP_057852,11676,"","","","","","","",""
304873969,"",651647,17504222,3665766,"",4323,"",Screening,20121018,0,0,Inactive,NP_004986,"","",Burnham Center for Chemical Genomics,uHTS identification of inhibitors of MT1-MMP activation in a fluoresence assay,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",MMP14 - matrix metallopeptidase 14 (human),/gene/4323,3.4.24.80,P50281,9606,"","","","","","","",""
306072701,"",651658,17504222,3665766,"",27006,"",Screening,20121019,0,0,Inactive,NP_065688,"","",Broad Institute,Small Molecule Inhibitors of FGF22-Mediated Excitatory Synaptogenesis & Epilepsy Measured in Biochemical System Using RT-PCR - 7012-01_Inhibitor_SinglePoint_HTS_Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",FGF22 - fibroblast growth factor 22 (human),/gene/27006,"",Q9HCT0,9606,"","","","","","","",""
306422081,"",651661,17504222,3665766,"","","",Screening,20121026,0,0,Active,"","","",Broad Institute,Luminescence Cell-Based Primary HTS to identify inhibitors of the oncoprotein EWS/Fli transcriptional activity Measured in Cell-Based System Using Plate Reader - 7014-01_Inhibitor_SinglePoint_HTS_Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
306954498,"",651699,17504222,3665766,"",8883,"",Screening,20121025,0,0,Inactive,NP_003896,"","",Burnham Center for Chemical Genomics,uHTS identification of inhibitors of cullin neddylation in a TR-FRET assay,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",NAE1 - NEDD8 activating enzyme E1 subunit 1 (human),/gene/8883,"",Q13564,9606,"","","","","","","",""
306954499,"",651699,17504222,3665766,"",9040,"",Screening,20121025,0,0,Inactive,NP_003960,"","",Burnham Center for Chemical Genomics,uHTS identification of inhibitors of cullin neddylation in a TR-FRET assay,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",UBE2M - ubiquitin conjugating enzyme E2 M (human),/gene/9040,2.3.2.34,P61081,9606,"","","","","","","",""
307503811,"",651704,17504222,3665766,"",4300,"",Screening,20130221,0,0,Inactive,NP_004520,"","",Broad Institute,Inhibition of the MLL-AF4-AF9 Interaction in Pediatric Leukemia Measured in Biochemical System Using Plate Reader - 2160-01_Inhibitor_SinglePoint_HTS_Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",MLLT3 - MLLT3 super elongation complex subunit (human),/gene/4300,"",P42568,9606,"","","","","","","",""
307932987,"",651702,17504222,3665766,"","","",Screening,20130304,0,0,Inactive,"","","",NMMLSC,Flow Cytometric HTS Screening for Inhibitors of Lytic Granule Exocytosis with MLPCN Compound Library,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
308223653,"",651710,17504222,3665766,"",5893,"",Screening,20121026,0,0,Inactive,NP_602296,"","",Broad Institute,FRET-based HTS for detection of RAD52 Inhibitors Measured in Biochemical System Using Plate Reader - 7018-01_Inhibitor_SinglePoint_HTS_Activity_Set2,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","RAD52 - RAD52 homolog, DNA repair protein (human)",/gene/5893,"",P43351,9606,"","","","","","","",""
308626303,"",651711,17504222,3665766,"",10130,"",Screening,20121028,0,0,Inactive,Q15084,"","",Broad Institute,Turbidometric Biochemical  Primary HTS  to identify inhibitors of ERp5 Measured in Biochemical System Using Plate Reader - 7002-01_Inhibitor_SinglePoint_HTS_Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",PDIA6 - protein disulfide isomerase family A member 6 (human),/gene/10130,5.3.4.1,Q15084,9606,"","","","","","","",""
